SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Condo/Co-op,3327 Wakefield St Unit B,Arlington,VA,22206,364900,2,1.0,Fairlington Commons,922,,1940,3,396,284,Active,April-22-2018 01:00 PM,April-22-2018 04:00 PM,http://www.redfin.com/VA/Arlington/3327-S-Wakefield-St-22206/unit-B/home/11269512,MRIS,AR10199639,N,Y,38.8353144,-77.0891346
MLS Listing,,Single Family Residential,321 Grandin Ave,Rockville,MD,20850,379000,2,1.5,Croyden Park,950,5751,1949,3,399,,Active,,,http://www.redfin.com/MD/Rockville/321-Grandin-Ave-20850/home/10510613,MRIS,MC10210127,N,Y,39.0851846,-77.1431798
MLS Listing,,Condo/Co-op,1111 University Blvd W Unit 1111-A,Silver Spring,MD,20902,116000,1,1.0,University Towers Codm,776,,1967,4,149,548,Active,,,http://www.redfin.com/MD/Silver-Spring/1111-University-Blvd-W-20902/unit-1111A/home/11117327,MRIS,MC10213438,N,Y,39.0376297,-77.027814
MLS Listing,,Condo/Co-op,8350 Greensboro Dr #319,Mclean,VA,22102,369900,2,2.0,Rotonda,1132,,1978,4,327,640,Active,,,http://www.redfin.com/VA/McLean/8350-Greensboro-Dr-22102/unit-319/home/9379307,MRIS,FX10208847,N,Y,38.9281446,-77.2328248
MLS Listing,,Single Family Residential,2009 Gainsboro Rd,Rockville,MD,20851,346000,3,1.0,Rockland,1064,6300,1952,4,325,,Active,April-22-2018 01:00 PM,April-22-2018 03:00 PM,http://www.redfin.com/MD/Rockville/2009-Gainsboro-Rd-20851/home/10513663,MRIS,MC10213307,N,Y,39.0691898,-77.1239098
MLS Listing,,Condo/Co-op,3312 Wyndham Cir #108,Alexandria,VA,22302,309900,2,2.0,Pointe At Park C,939,,1990,4,330,285,Active,,,http://www.redfin.com/VA/Alexandria/3312-Wyndham-Cir-22302/unit-108/home/11877026,MRIS,AX10213228,N,Y,38.8349959,-77.10192
MLS Listing,,Condo/Co-op,4500 Four Mile Run Dr #318,Arlington,VA,22204,319900,2,2.0,The Brittany,1129,,2005,4,283,569,Active,,,http://www.redfin.com/VA/Arlington/4500-S-Four-Mile-Run-Dr-22204/unit-318/home/11281842,MRIS,AR10213225,N,Y,38.854497,-77.105913
MLS Listing,,Condo/Co-op,5111 8th Rd S #301,Arlington,VA,22204,220000,3,2.0,Columbia Knolls,1498,,1961,4,147,897,Active,April-22-2018 01:00 PM,April-22-2018 05:00 PM,http://www.redfin.com/VA/Arlington/5111-8th-Rd-S-22204/unit-301/home/11259084,MRIS,AR10213195,N,Y,38.8576973,-77.1165606
MLS Listing,,Single Family Residential,11510 Goodloe Rd,Silver Spring,MD,20906,349900,3,2.0,Veirs Mill Village,1296,5887,1946,4,270,,Active,April-22-2018 01:00 PM,April-22-2018 03:30 PM,http://www.redfin.com/MD/Silver-Spring/11510-Goodloe-Rd-20906/home/11002661,MRIS,MC10213175,N,Y,39.0444421,-77.0857309
MLS Listing,,Condo/Co-op,2230 George C Marshall Dr #224,Falls Church,VA,22043,260000,1,1.0,Renaissance 2230,792,,1987,4,328,422,Active,April-22-2018 01:00 PM,April-22-2018 04:00 PM,http://www.redfin.com/VA/Falls-Church/2230-George-C-Marshall-Dr-22043/unit-224/home/9849385,MRIS,FX10212894,N,Y,38.9006936,-77.2138394
MLS Listing,,Condo/Co-op,4356 Lee Hwy #303,Arlington,VA,22207,269900,1,1.0,Balmoral Condominiums,822,,1964,4,328,362,Active,April-22-2018 02:00 PM,April-22-2018 04:00 PM,http://www.redfin.com/VA/Arlington/4356-Lee-Hwy-22207/unit-303/home/11235020,MRIS,AR10212840,N,Y,38.8974998,-77.1155717
MLS Listing,,Condo/Co-op,801 Greenbrier St #103,Arlington,VA,22204,349000,2,2.5,Sierra Condominium,1150,,2005,4,303,484,Active,,,http://www.redfin.com/VA/Arlington/801-S-Greenbrier-St-22204/unit-103/home/11281561,MRIS,AR10212564,N,Y,38.8576322,-77.1192127
MLS Listing,,Condo/Co-op,110 George Mason Dr Unit 110-1,Arlington,VA,22203,219900,1,1.0,Arlington Oaks,651,,1940,4,338,406,Active,April-22-2018 01:00 PM,April-22-2018 03:00 PM,http://www.redfin.com/VA/Arlington/110-N-George-Mason-Dr-22203/unit-110-1/home/11257849,MRIS,AR10212532,N,Y,38.8699268,-77.1076004
MLS Listing,,Condo/Co-op,10600 Kenilworth Ave Unit K-203,Bethesda,MD,20814,320000,3,1.5,Parkside Codm,1083,,1962,4,295,472,Active,April-22-2018 01:00 PM,April-22-2018 03:00 PM,http://www.redfin.com/MD/Bethesda/10600-Kenilworth-Ave-20814/unit-K-203/home/145347373,MRIS,MC10212444,N,Y,39.0304971,-77.0951414
MLS Listing,,Townhouse,3901 Tunlaw Rd NW #602,Washington,DC,20007,318300,1,1.0,Observatory Circle,809,,1952,4,393,502,Active,,,http://www.redfin.com/DC/Washington/3901-Tunlaw-Rd-NW-20007/unit-602/home/9965015,MRIS,DC10212394,N,Y,38.9259736,-77.0781747
MLS Listing,,Condo/Co-op,801 Pitt St #1010,Alexandria,VA,22314,259000,1,1.0,Port Royal,785,,1965,4,330,840,Active,April-22-2018 02:00 PM,April-22-2018 04:00 PM,http://www.redfin.com/VA/Alexandria/801-N-Pitt-St-22314/unit-1010/home/11866867,MRIS,AX10212229,N,Y,38.8133756,-77.042279
MLS Listing,,Condo/Co-op,3601 38th St NW #303,Washington,DC,20016,389000,1,1.0,Cleveland Park,800,,1985,4,486,347,Active,,,http://www.redfin.com/DC/Washington/3601-38th-St-NW-20016/unit-303/home/9968023,MRIS,DC10203903,N,Y,38.9376295,-77.0758144
MLS Listing,,Condo/Co-op,1021 Arlington Blvd #543,Arlington,VA,22209,260000,1,1.0,River Place,716,,1955,5,363,514,Active,April-22-2018 01:00 PM,April-22-2018 03:00 PM,http://www.redfin.com/VA/Arlington/1021-Arlington-Blvd-22209/unit-543/home/11253825,MRIS,AR10212104,N,Y,38.8929957,-77.0689033
